"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"FIN","Finland","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",61.74,,
"FIN","Finland","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",60.91,,
"FIN","Finland","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",52.84,,
"FIN","Finland","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",60.07,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.01,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0,,
"FIN","Finland","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",132.63,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",132.99,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",123.86,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",97.33,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",89.2,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",84.17,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",74.02,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",72.17,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",66.41,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",66.04,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",61.39,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",60.65,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",55.64,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",49.54,,
"FRA","France","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",50.89,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2000","2000",225.2,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2001","2001",222.48,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2002","2002",204.84,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2003","2003",159.94,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",145.9,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",137.47,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",120.68,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",117.11,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",107.5,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",106.96,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",99.35,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",97.96,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",86.41,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",77.18,,
"FRA","France","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",79.67,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.04,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.05,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.05,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.04,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.03,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.03,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.03,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.02,,
"FRA","France","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0.02,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",80.51,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",52.93,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",86.75,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",58.01,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",76.04,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",70,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",68.38,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",84.33,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",78.82,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",77.71,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",78.55,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",83.26,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",63.79,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",95.53,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",62.63,,
"MKD","FYROM","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",71.21,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",3.12,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.28,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.46,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.23,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.31,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.22,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.21,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.31,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.36,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.24,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.23,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.23,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.17,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.32,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0.15,,
"MKD","FYROM","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0.17,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",113.17,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",127.21,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",118.2,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",132.99,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",150.06,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",138.66,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",163.2,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",180.55,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",215.14,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",185.52,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",174.48,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",135.74,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",158.17,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",136.12,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",137.11,,
"GEO","Georgia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",163.63,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",91.26,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",84.72,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",82.94,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",80.12,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",70.8,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",65.01,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",61.8,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",60.16,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",54.52,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",50.69,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",44.61,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",49.01,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",44.76,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",40.65,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",41.7,,
"DEU","Germany","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",42.49,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2000","2000",141.28,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2001","2001",129.01,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2002","2002",124.42,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2003","2003",119.71,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",104.8,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",95.21,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",89.74,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",86.16,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",87.25,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",80.16,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",69.77,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",75.72,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",66.87,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",61.29,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",61.39,,
"DEU","Germany","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",62.04,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.01,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0,,
"DEU","Germany","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",188.51,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",173.08,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",149.88,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",146.87,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",152.44,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",150.9,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",150.36,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",145.9,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",140.19,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",131.09,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",113.12,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",102.75,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",89.45,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",80.16,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",72.99,,
"GRC","Greece","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",74.37,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2000","2000",307.61,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2001","2001",268.65,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2002","2002",223.62,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2003","2003",211.6,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",212.47,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",199.57,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",191.01,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",181.16,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",167.78,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",153.89,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",133.11,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",120.05,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",104.07,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",92.97,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",84.05,,
"GRC","Greece","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",84.58,,
"GRC","Greece","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.4,,
"GRC","Greece","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.51,,
"GRC","Greece","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.46,,
"GRC","Greece","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.4,,
"GRC","Greece","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0.38,,
"GRC","Greece","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0.36,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",117.52,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",121.62,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",140.67,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",130.9,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",128.23,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",126.7,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",129.38,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",122.52,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",99.22,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",82.01,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",74,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",63.98,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",60.99,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",59.74,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",63.45,,
"HUN","Hungary","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",65.42,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2000","2000",443.46,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2001","2001",436.27,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2002","2002",480.5,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2003","2003",422.16,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",392.13,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",379.23,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",376.92,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",347.43,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",274.76,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",225.82,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",203.3,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",179.87,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",169.56,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",162.59,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",168.37,,
"HUN","Hungary","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",168.5,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.04,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.04,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.04,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.04,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.04,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.03,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.03,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.03,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.02,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.02,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.02,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.02,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.02,,
"HUN","Hungary","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0.01,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",113.8,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",84.22,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",100.86,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",79.44,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",78.75,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",64.03,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",102.05,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",48.14,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",37.81,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",53.38,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",25.15,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",37.62,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",28.06,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",46.33,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",12.22,,
"ISL","Iceland","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",48.36,,
