"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","YEAR","Year","Value","Flag Codes","Flags"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1995","1995",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1996","1996",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1997","1997",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1998","1998",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1999","1999",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2000","2000",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2001","2001",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2002","2002",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2003","2003",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2004","2004",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2005","2005",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2006","2006",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2007","2007",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2008","2008",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2009","2009",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2010","2010",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2011","2011",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2012","2012",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2013","2013",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2014","2014",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2015","2015",,"M","Missing value; data cannot exist"
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2002","2002",903000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2003","2003",75000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2004","2004",50000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2005","2005",167000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2006","2006",385000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2007","2007",793000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2008","2008",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2009","2009",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2010","2010",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2011","2011",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2012","2012",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2013","2013",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2014","2014",1000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2015","2015",2500000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995",6419000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996",5774000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997",5457000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998",5253000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999",5084000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000",5109000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001",6094000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002",5907000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003",6228000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004",6748000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005",8293000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006",9653000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007",11464000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008",13647000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009",17263000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010",21015000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011",20725000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012",18959000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013",17907000000,,
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014",7538000000,"B","Break"
"CAN","Canada","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015",7865000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995",186000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996",284000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997",293000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998",263000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999",352000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000",372000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001",284000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002",337000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003",470000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004",496000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005",450000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006",573000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007",666000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008",694000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009",406000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010",221000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011",112000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012",102000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013",104000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014",128000000,,
"SVN","Slovenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015",102000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","1995","1995",521000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","1996","1996",590000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","1997","1997",710000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","1998","1998",979000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","1999","1999",1120000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2000","2000",1199000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2001","2001",1071000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2002","2002",1191000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2003","2003",1145000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2004","2004",1335000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2005","2005",1330000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2006","2006",1489000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2007","2007",1505000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2008","2008",1683000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2009","2009",2062000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2010","2010",1936000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2011","2011",2143000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2012","2012",1688000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2013","2013",1648000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2014","2014",1567000000,,
"AUT","Austria","I-INV-RL","Rail infrastructure investment","NAT","National currency","2015","2015",1549000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","1995","1995",27000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","1996","1996",24000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","1997","1997",25000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","1998","1998",20000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","1999","1999",10000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2000","2000",15000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2001","2001",22000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2002","2002",101000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2003","2003",164000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2004","2004",86000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2005","2005",147000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2006","2006",106000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2007","2007",174000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2008","2008",375000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2009","2009",131000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2010","2010",119000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2011","2011",117000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2012","2012",162000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2013","2013",214000000,,
"MDA","Moldova","I-INV-RL","Rail infrastructure investment","NAT","National currency","2014","2014",84000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1995","1995",1538000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1996","1996",1688000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1997","1997",1673000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1998","1998",1896000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1999","1999",2053000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2000","2000",4088000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2001","2001",3661000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2002","2002",3681000000,,
"USA","United States","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2003","2003",2657000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","1995","1995",2766000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","1996","1996",2963000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","1997","1997",3024000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","1998","1998",2879000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","1999","1999",2891000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2000","2000",2955000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2001","2001",2444000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2002","2002",3045000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2003","2003",3634000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2004","2004",3680000000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2005","2005",4171382500,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2006","2006",4272720000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2007","2007",4616418000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2008","2008",4696513302,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2009","2009",4968770094,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2010","2010",5103166000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2011","2011",6539206000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2012","2012",7888006000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2013","2013",10397727000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2014","2014",9527557000,,
"FRA","France","I-INV-RL","Rail infrastructure investment","NAT","National currency","2015","2015",8569902000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2005","2005",86633700000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2006","2006",107682800000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2007","2007",183131900000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2008","2008",238642200000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2009","2009",180228200000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2010","2010",185075400000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2011","2011",252324900000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2012","2012",276714000000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2013","2013",313581800000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2014","2014",311295800000,,
"RUS","Russian Federation","I-INV-RD-MOTW","Road infrastructure investment: Of which motorway","NAT","National currency","2015","2015",293266900000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","1995","1995",2000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","1996","1996",0,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","1997","1997",0,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","1998","1998",4000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","1999","1999",0,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2000","2000",1000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2001","2001",1000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2002","2002",0,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2003","2003",0,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2004","2004",6000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2005","2005",4000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2006","2006",10000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2007","2007",31000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2008","2008",56000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2009","2009",19000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2010","2010",3000000,,
"EST","Estonia","I-INV-AIR","Airport infrastructure investment","NAT","National currency","2011","2011",6000000,,
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1995","1995",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1996","1996",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1997","1997",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1998","1998",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1999","1999",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2000","2000",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2001","2001",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2002","2002",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2003","2003",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2004","2004",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2005","2005",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2006","2006",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2007","2007",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2008","2008",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2009","2009",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2010","2010",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2011","2011",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2012","2012",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2013","2013",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2014","2014",,"M","Missing value; data cannot exist"
"BLR","Belarus","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2015","2015",,"M","Missing value; data cannot exist"
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","1995","1995",29000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","1996","1996",2000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","1997","1997",9000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","1998","1998",4000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","1999","1999",5000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2000","2000",85000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2001","2001",141000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2002","2002",237000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2003","2003",247000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2004","2004",184000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2005","2005",184000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2006","2006",172000000,,
"IRL","Ireland","I-INV-RL","Rail infrastructure investment","NAT","National currency","2007","2007",244000000,,
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1995","1995",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1996","1996",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1997","1997",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1998","1998",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","1999","1999",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2000","2000",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2001","2001",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2002","2002",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2003","2003",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2004","2004",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2005","2005",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2006","2006",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2007","2007",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2008","2008",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2009","2009",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2010","2010",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2011","2011",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2012","2012",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2013","2013",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2014","2014",,"M","Missing value; data cannot exist"
"MEX","Mexico","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2015","2015",,"M","Missing value; data cannot exist"
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995",6238,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996",14470,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997",22623,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998",12644,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999",12570,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000",764381,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001",274052,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002",1000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003",1000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004",4000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005",3000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006",37000000,"B","Break"
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007",51000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008",11000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009",23000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010",18000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011",15000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012",18000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013",20000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014",9000000,,
"MNE","Montenegro, Republic of","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015",12000000,,
"ISL","Iceland","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1995","1995",1548000000,,
"ISL","Iceland","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1996","1996",1468000000,,
"ISL","Iceland","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1997","1997",1402000000,,
"ISL","Iceland","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1998","1998",1762000000,,
"ISL","Iceland","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1999","1999",2383000000,,
"ISL","Iceland","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2000","2000",1419000000,,
