Area,Magnitude,Year
"New Madrid, Mo (1811)",7.7,1811
"Charleston, SC (1886)",7.3,1886
"Mississippi County, Mo (1895)",6.6,1895
Northeast Arkansas (1843),6.3,1843
"Giles County, Va (1897)",5.9,1897
"Piedmont, Va (2011)",5.8,2011
"Pawnee, Oklahoma (2016)",5.8,2016
"NYC, New York (1884)",5.5,1884
"Ossipee Lake, NH (1940)",5.5,1940
Southern Illinois (1968),5.4,1968
Southern Illinois (2008),5.4,2008
"Blue Mountain Lake, NY (1983)",5.3,1983
