time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2009-12-20T05:05:21.340Z,35.554,-97.267,5,3.1,mblg,9,92.7,,1.01,us,usp000h573,2017-06-26T21:08:06.162Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-12-18T11:38:08.660Z,36.4506667,-89.541,9.06,3.1,md,37,54,0.0584,0.07,nm,nm607105,2016-04-08T16:26:33.350Z,"10km NW of Tiptonville, Tennessee",earthquake,0.2,0.6,0.083,11,reviewed,nm,nm
2009-12-17T02:53:42.520Z,40.406,-95.863,5,3.6,mblg,33,29.1,,0.78,us,usp000h545,2015-03-24T01:40:05.005Z,"Nebraska",earthquake,,,,,reviewed,us,us
2009-12-13T22:00:50.540Z,42.5731667,-74.1076667,10.18,3.15,md,21,72,,0.2,ld,ld2009121301,2016-08-31T19:34:46.793Z,"New York",earthquake,0.26,0.47,,,reviewed,ld,ld
2009-12-13T08:38:25.880Z,35.587,-97.285,5,3.6,mblg,23,59.5,,0.61,us,usp000h506,2017-06-26T21:08:28.690Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-12-12T11:34:05.450Z,35.556,-97.316,5,3.1,mblg,12,90.6,,0.73,us,usp000h4zg,2017-06-26T21:08:40.315Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-12-07T17:44:25.180Z,35.556,-97.25,5,3.5,mblg,21,75.4,,0.73,us,usp000h4ur,2017-06-26T21:09:03.375Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-12-07T00:27:26.830Z,33.0293333,-83.0108333,6.87,3.2,mlg,24,105,,0.29,se,se607230,2016-04-08T16:39:41.620Z,"19km WNW of Sandersville, Georgia",earthquake,2,3.3,0.324,1,reviewed,se,se
2009-11-29T01:36:58.630Z,35.563,-97.275,5,3,mblg,14,77.7,,0.92,us,usp000h4j1,2017-06-26T21:09:15.327Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-11-17T04:00:17.770Z,34.462,-97.532,5,3.1,mblg,18,74.4,,1.26,us,usp000h44d,2017-06-26T21:09:38.168Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-11-16T11:12:37.140Z,35.482,-97.228,5,3,mblg,11,77,,1,us,usp000h43n,2017-06-26T21:09:49.414Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-11-14T11:13:01.340Z,35.494,-97.204,5,3.1,mblg,13,77,,0.92,us,usp000h41m,2017-06-26T21:10:01.036Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-11-06T06:12:39.770Z,36.0885,-89.4018333,9.32,3.4,mlg,38,40,0.02017,0.06,nm,nm607067,2016-04-08T16:22:29.130Z,"6km NNW of Dyersburg, Tennessee",earthquake,0.3,0.6,0.175,8,reviewed,nm,nm
2009-11-02T03:16:45.290Z,46.1083333,-74.7528333,3.92,3.59,md,21,106,0.1775,0.18,ld,ld2009110200,2016-08-31T19:28:41.644Z,"southern Quebec, Canada",earthquake,0.24,0.58,,,reviewed,ld,ld
2009-11-01T17:01:26.310Z,35.1368333,-84.8543333,24.51,3,mlg,24,63,,0.15,se,se607215,2016-04-08T16:38:07.290Z,"1km ESE of South Cleveland, Tennessee",earthquake,0.4,1,0.802,7,reviewed,se,se
2009-10-23T03:56:29.730Z,35.804,-97.029,5,3,mblg,19,72.5,,0.8,us,usp000h3a1,2017-06-26T21:10:22.985Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-10-15T18:53:23.000Z,35.2473333,-92.3948333,0,3,mlg,14,171,,0.22,nm,nm607041,2016-04-08T16:19:42.110Z,"1km NNW of Greenbrier, Arkansas",earthquake,3.9,3.5,0.257,7,reviewed,nm,nm
2009-10-03T06:04:32.620Z,45.967,-77.018,18,3.1,mblg,22,109.7,,,us,usp000h2a5,2015-01-31T04:25:11.387Z,"southern Ontario, Canada",earthquake,,,,,reviewed,ott,ott
2009-08-31T14:07:10.230Z,35.778,-84.1238333,14.25,3.3,md,24,79,,0.15,se,se607194,2016-04-08T16:35:55.100Z,"8km SW of Louisville, Tennessee",earthquake,0.3,0.6,0.064,6,reviewed,se,se
2009-08-29T10:37:13.700Z,33.033,-80.1586667,4.93,3.2,mlg,14,122,,0.17,se,se607191,2016-04-08T16:35:36.160Z,"2km NE of Summerville, South Carolina",earthquake,0.6,1,,,reviewed,se,se
2009-08-28T02:09:06.000Z,35.565,-97.29,5,3.5,mblg,4,132.1,,,us,usp000h0y9,2017-06-26T21:10:45.137Z,"Oklahoma",earthquake,,,,,reviewed,macr,us
2009-08-27T08:22:14.530Z,34.942,-96.618,5,3.4,mblg,31,39.8,,1.18,us,usp000h0x7,2017-06-26T21:11:18.021Z,"Oklahoma",earthquake,,,,,reviewed,us,tul
2009-08-01T13:38:26.110Z,35.0635,-84.2923333,5.4,3.2,mlg,28,75,,0.09,se,se607183,2016-04-08T16:34:45.230Z,"11km NE of McCaysville, Georgia",earthquake,0.4,1.4,0.554,7,reviewed,se,se
2009-07-22T02:25:59.800Z,35.742,-96.944,5,3.3,mblg,16,76.5,,0.8,us,usp000gzha,2017-06-26T21:11:40.624Z,"Oklahoma",earthquake,,,,,reviewed,us,us
2009-07-21T14:20:56.350Z,49.725,-65.706,13.8,3.5,mwr,13,245.9,,,us,usp000gzgy,2014-11-07T01:39:20.827Z,"Gaspe Peninsula, Quebec, Canada",earthquake,,,,,reviewed,ott,us
