time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-20T22:14:57.610Z,37.2747,-98.13,3.06,3.1,mb_lg,,58,0.135,0.27,us,us20009ntg,2017-07-02T05:11:12.375Z,"9km W of Harper, Kansas",earthquake,3.9,7.2,0.054,88,reviewed,us,us
2017-06-20T15:14:04.910Z,33.4275,-82.0168333,12.93,3.2,mlg,25,46,0.347,0.19,se,se60172262,2017-07-18T17:26:16.489Z,"6km SW of Augusta, Georgia",earthquake,0.35,0.81,,94,reviewed,se,se
2017-06-19T18:10:57.600Z,35.6176,-96.8946,5,3,ml,,37,,0.11,us,us20009nlt,2017-07-18T18:37:29.416Z,"9km S of Chandler, Oklahoma",earthquake,1.6,4.3,,,reviewed,tul,tul
2017-06-17T12:06:27.750Z,35.012,-97.5951,5.77,3.2,mb_lg,,68,0.291,0.76,us,us20009n9l,2017-07-15T06:00:04.015Z,"15km SSE of Blanchard, Oklahoma",earthquake,1.9,7.6,0.048,112,reviewed,us,us
2017-06-15T07:35:15.300Z,36.2848,-97.5067,6.133,3.3,mwr,,25,,0.25,us,us20009ml2,2017-07-13T05:39:41.992Z,"19km W of Perry, Oklahoma",earthquake,1.7,7.1,,16,reviewed,tul,slm
2017-06-13T09:40:37.530Z,39.74,-98.1575,5,3.6,mwr,,18,1.133,0.84,us,us20009m3y,2017-07-20T08:47:36.750Z,"6km SE of Mankato, Kansas",earthquake,3,1.9,0.073,18,reviewed,us,us
2017-06-12T11:32:47.440Z,39.7383,-98.1154,5,3.7,mb_lg,,60,1.119,0.56,us,us20009lxq,2017-06-24T05:58:34.201Z,"9km SE of Mankato, Kansas",earthquake,2.8,2,0.043,141,reviewed,us,us
2017-06-12T11:32:06.420Z,39.7291,-98.1389,5,3.2,mb_lg,,66,1.136,0.62,us,us20009lxp,2017-06-24T05:56:13.234Z,"8km SE of Mankato, Kansas",earthquake,2,2,0.045,129,reviewed,us,us
2017-06-12T11:18:34.510Z,39.7406,-98.1442,5,3.7,mwr,,126,1.127,0.27,us,us20009lxc,2017-06-23T13:45:11.422Z,"7km SE of Mankato, Kansas",earthquake,3.6,2,0.073,18,reviewed,us,us
2017-06-11T12:40:25.100Z,36.376,-92.9895,5.87,3.6,mw,24,85,0.1115,0.15,nm,nm60197956,2017-07-22T06:08:18.453Z,"19km NNE of Harrison, Arkansas",earthquake,0.22,0.45,,16,reviewed,nm,nm
2017-06-10T07:01:46.360Z,36.4373,-98.7528,2.93,3.4,mwr,,180,0.272,0.25,us,us20009lpq,2017-07-13T05:31:52.390Z,"30km NW of Fairview, Oklahoma",earthquake,3.1,4.3,,8,reviewed,us,slm
2017-06-10T06:26:10.890Z,37.2345,-97.9848,3.78,3.7,ml,,235,0.013,0.57,us,us20009lpj,2017-07-13T05:30:04.188Z,"6km SSE of Harper, Kansas",earthquake,3.7,7.3,0.189,14,reviewed,ismp,ismp
2017-06-09T12:25:29.300Z,35.6372,-98.0396,6.85,3.2,ml,,50,,0.66,us,us20009li8,2017-07-13T12:27:39.040Z,"11km SSW of Okarche, Oklahoma",earthquake,1.2,7,,,reviewed,tul,tul
2017-06-09T12:23:51.200Z,36.6087,-97.7451,6.887,3.1,ml,,42,,0.6,us,us20009li7,2017-07-13T12:25:53.040Z,"22km S of Medford, Oklahoma",earthquake,1.1,6.5,,,reviewed,tul,tul
2017-06-08T03:09:37.100Z,36.871,-98.8188,4.202,3.1,mwr,,129,,0.52,us,us20009l8s,2017-07-13T04:11:20.040Z,"15km WNW of Alva, Oklahoma",earthquake,2.4,7.7,,8,reviewed,tul,slm
2017-06-07T16:41:18.000Z,36.2274,-98.4308,6.153,3.2,mwr,,59,,0.38,us,us20009l4z,2017-07-13T04:54:52.872Z,"6km SE of Fairview, Oklahoma",earthquake,1.8,7.4,,6,reviewed,tul,slm
2017-06-07T02:54:34.800Z,36.4584,-98.795,5.65,3.1,mwr,,38,,0.38,us,us20009l1y,2017-07-16T22:23:11.040Z,"35km NW of Fairview, Oklahoma",earthquake,2.4,6.5,,5,reviewed,tul,slm
2017-06-04T18:08:12.200Z,35.6811,-97.1817,4.744,3,ml,,52,,0.22,us,us20009kmt,2017-07-21T15:55:43.040Z,"2km NNE of Luther, Oklahoma",earthquake,0.9,5.6,,,reviewed,tul,tul
2017-06-03T20:29:21.420Z,39.7681,-98.1751,13.44,3,mb_lg,,44,1.115,0.76,us,us20009kj0,2017-07-11T00:55:24.040Z,"3km SE of Mankato, Kansas",earthquake,1.6,8.6,0.051,102,reviewed,us,us
2017-06-03T03:08:39.980Z,39.9173,-81.293,1.38,3.4,mwr,,23,0.337,0.6,us,us20009kfw,2017-07-19T21:36:17.040Z,"12km SW of Barnesville, Ohio",earthquake,1.6,6.3,,39,reviewed,us,slm
2017-06-02T14:02:22.400Z,36.6987,-97.6707,5.646,3.1,ml,,50,,0.48,us,us20009j8h,2017-06-09T08:33:21.128Z,"13km SSE of Medford, Oklahoma",earthquake,1.3,7.2,,,reviewed,tul,tul
2017-06-01T21:55:09.700Z,36.4715,-98.7472,7.959,3.1,ml,,43,,0.23,us,us10008xcl,2017-06-03T22:24:49.047Z,"32km NW of Fairview, Oklahoma",earthquake,2.6,6.5,,,reviewed,tul,tul
2017-06-01T21:06:08.100Z,36.4569,-98.7903,5.108,3.5,ml,,37,,0.4,us,us10008xbv,2017-06-06T11:18:03.508Z,"34km NW of Fairview, Oklahoma",earthquake,2.2,6.4,,,reviewed,tul,tul
2017-06-01T18:26:39.740Z,37.2347,-97.9817,4.59,3.6,ml,,234,0.012,0.31,us,us10008x7c,2017-07-05T22:26:58.042Z,"6km SE of Harper, Kansas",earthquake,1.5,4.5,0.152,17,reviewed,ismp,ismp
2017-05-31T23:20:51.700Z,36.4562,-98.7973,6.12,3.1,ml,,38,,0.31,us,us10008wz6,2017-06-18T03:32:02.438Z,"35km NW of Fairview, Oklahoma",earthquake,3,7.2,,,reviewed,tul,tul
2017-05-31T20:05:29.700Z,36.6999,-98.427,4.867,3.2,ml,,80,,0.33,us,us10008www,2017-07-03T14:27:41.040Z,"8km SW of Cherokee, Oklahoma",earthquake,2.5,7.8,,,reviewed,tul,tul
2017-05-31T07:03:47.800Z,36.4032,-96.8796,5,3.1,mwr,,41,,0.43,us,us10008wsx,2017-06-29T12:35:05.850Z,"9km NW of Pawnee, Oklahoma",earthquake,2.1,6.2,,11,reviewed,tul,slm
2017-05-30T23:12:22.800Z,36.2809,-97.5051,6.718,3.8,mwr,,25,,0.52,us,us10008wqm,2017-06-07T23:26:58.623Z,"19km W of Perry, Oklahoma",earthquake,1.2,4.8,0.044,49,reviewed,tul,us
2017-05-30T17:50:11.400Z,36.4559,-98.8021,6.434,3,ml,,39,,0.56,us,us10008wl8,2017-06-29T20:30:48.040Z,"35km NW of Fairview, Oklahoma",earthquake,1.3,6.3,,,reviewed,tul,tul
2017-05-30T13:57:24.000Z,36.2826,-97.5071,5.525,3.7,mwr,,25,,0.1,us,us10008wi5,2017-06-14T16:40:11.135Z,"19km W of Perry, Oklahoma",earthquake,1.1,3.9,0.044,49,reviewed,tul,us
2017-05-30T09:23:14.900Z,36.4575,-98.7966,5.855,3,mwr,,38,,0.59,us,us10008wdh,2017-07-05T09:04:11.040Z,"35km NW of Fairview, Oklahoma",earthquake,1.9,6.2,,14,reviewed,tul,slm
2017-05-29T01:28:05.500Z,36.2168,-98.9332,3.001,3.1,ml,,79,,0.45,us,us10008vz2,2017-05-31T23:19:12.285Z,"19km N of Taloga, Oklahoma",earthquake,2.3,7.8,,,reviewed,tul,tul
2017-05-26T10:48:12.100Z,35.84,-96.6911,6.438,3.1,ml,,50,,0.42,us,us10008vfu,2017-06-28T14:18:40.040Z,"10km NNW of Stroud, Oklahoma",earthquake,1.2,4,,,reviewed,tul,tul
2017-05-25T16:31:15.700Z,35.2678,-97.8648,7.208,3.2,ml,,34,,0.56,us,us10008vcl,2017-06-15T13:54:00.081Z,"5km WSW of Tuttle, Oklahoma",earthquake,1.1,4,,,reviewed,tul,tul
2017-05-24T16:24:05.180Z,39.2276,-82.4771,9.6,3.4,mb_lg,,17,0.311,0.53,us,us10008uvu,2017-07-09T22:38:16.040Z,"2km S of McArthur, Ohio",earthquake,4.7,7.1,0.041,157,reviewed,us,us
2017-05-24T03:47:34.700Z,36.5319,-98.9705,7.204,3.1,ml,,57,,0.58,us,us10008us0,2017-06-17T21:17:25.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,2.7,7.2,,,reviewed,tul,tul
2017-05-21T14:06:15.600Z,35.796,-97.2005,7.058,3.3,mwr,,28,,0.24,us,us10008u0y,2017-07-02T13:16:38.591Z,"14km N of Luther, Oklahoma",earthquake,0.8,4.2,,25,reviewed,tul,slm
2017-05-21T04:54:25.400Z,39.7556,-98.137,16.13,3.4,mb_lg,,34,1.112,0.72,us,us10008tyn,2017-07-22T06:45:52.207Z,"7km ESE of Mankato, Kansas",earthquake,4.1,6.1,0.043,142,reviewed,us,us
2017-05-20T19:25:17.500Z,35.874,-96.64,5.542,3.1,ml,,40,,0.22,us,us10008twf,2017-06-02T04:01:13.569Z,"13km SSW of Drumright, Oklahoma",earthquake,1.7,3.2,,,reviewed,tul,tul
2017-05-19T07:32:49.590Z,37.235,-97.9828,4.39,3.4,ml,,234,0.013,0.3,us,us10008thw,2017-06-04T09:33:34.128Z,"6km SSE of Harper, Kansas",earthquake,1.6,4.1,0.144,18,reviewed,ismp,ismp
2017-05-19T01:04:05.200Z,36.8677,-98.8225,4.355,3.2,ml,,143,,0.49,us,us10008tgm,2017-05-24T22:44:10.024Z,"15km WNW of Alva, Oklahoma",earthquake,1.6,7.8,,,reviewed,tul,tul
2017-05-16T11:29:12.600Z,36.6998,-98.4305,6.904,3.7,ml,,62,,0.5,us,us10008spr,2017-06-20T14:29:53.792Z,"8km SW of Cherokee, Oklahoma",earthquake,1.5,6.3,,,reviewed,tul,tul
2017-05-16T10:21:52.240Z,36.873,-89.1216667,9.07,3.26,mw,72,40,0.2691,0.22,nm,nm60194306,2017-06-29T13:46:57.040Z,"9km W of Bardwell, Kentucky",earthquake,0.3,1.32,,16,reviewed,nm,nm
